Tono;Pirotecnia|Vórtice Ígneo
Ferran;Salmuera|Envite Igneo|Poder Pasado|Rueda Fuego|Hidroariete|Burbuja
Sasa;Infierno|Martillazo|Hidroariete|Envite Igneo
Mul;Gigadrenado|Rayo Burbuja|Danza Lluvia|Pistola Agua
Branco;Arraigo|Silvato|Danza Lluvia
MartinNegro;Acua Aro|Tumba Rocas|Polen Somnífero|Escaldar|Cascada|Pirotecnia
EmaArdillaRabiosa;Origen Pulso|Fuego Sagrado|Cascada|Llamarada Azul
Danini;Fuego Sagrado|Pedrada|Envite Igneo|Hierba Lazo|Surf
Dante;Explosión Ígnea|Envite Igneo|Agua Lodosa|Terratemblor
MartinAyudanteHermoso;Salmuera|Colmillo Igneo|Excavar|Calcinación
Estefania;Hoja Afilada|Burbuja|Acua Jet|Energibola|Fuego Sagrado|Agua Lodosa|Llamarada Azul
Churrasquita;Origen Pulso|Infierno|Silvato|Hoja Mágica|Colmillo Igneo
Clapt;Pulso de Agua|Pedrada
Rabi;Latigazo|Absorber|Vórtice Ígneo|Avalancha|Rueda Fuego|Tormenta de Arena
Nilo;Patada Ígnea|Acua Jet|Huesomerang|Fogonazo|Polen Somnífero|Torbellino
Papulini;Fuego Sagrado|Absorber|Infierno
